dataset,configuration,seed,model,batch_frac,n_layers,entangle,encoding_strategy,n_qubits,n_params,cnot_count,attribute,spd,eod,aod,trace_distance_input,qsp_diff_output,is_bias_pair_candidate
german_credit,L2_re_upload,17,XGBoost_stub,0.25,2,linear,re_upload,9,36,16,age,-0.0384584112529473,-0.1273563218390804,-0.0217409314823107,0.0727641421999985,0.0047404977968734,False
german_credit,L2_re_upload,17,XGBoost_stub,0.25,2,linear,re_upload,9,36,16,sex,-0.0613983705202619,-0.0351020408163265,-0.0611985613917697,0.0727641421999985,0.0047404977968734,False
german_credit,L2_re_upload,17,XGBoost_stub,0.25,2,linear,re_upload,9,36,16,overall,-0.0533814589665653,-0.0486694677871147,-0.0472939175670267,0.0727641421999985,0.0047404977968734,False
german_credit,L2_re_upload,17,MLP,0.25,2,linear,re_upload,9,36,16,age,-0.0641515570371575,-0.016551724137931,-0.0553537841468875,0.0727641421999985,0.0047404977968734,False
german_credit,L2_re_upload,17,MLP,0.25,2,linear,re_upload,9,36,16,sex,0.0730070823792534,0.1129251700680272,0.0798232407717185,0.0727641421999985,0.0047404977968734,False
german_credit,L2_re_upload,17,MLP,0.25,2,linear,re_upload,9,36,16,overall,0.0364741641337386,0.0615079365079365,0.0452751613465899,0.0727641421999985,0.0047404977968734,False
german_credit,L2_re_upload,27,RandomForest,0.25,2,linear,re_upload,9,36,16,age,0.0757785185787462,0.0855983772819472,0.0786016577767761,0.1040903112491404,0.0024631263545782,False
german_credit,L2_re_upload,27,RandomForest,0.25,2,linear,re_upload,9,36,16,sex,0.0666702167314553,0.065530303030303,0.0716150198206826,0.1040903112491404,0.0024631263545782,False
german_credit,L2_re_upload,27,RandomForest,0.25,2,linear,re_upload,9,36,16,overall,0.0625,0.0568561872909699,0.0703286549927183,0.1040903112491404,0.0024631263545782,False
german_credit,L2_re_upload,27,XGBoost_stub,0.25,2,linear,re_upload,9,36,16,age,0.1758679567444507,0.1217038539553752,0.1960371121628728,0.1040903112491404,0.0024631263545782,False
german_credit,L2_re_upload,27,XGBoost_stub,0.25,2,linear,re_upload,9,36,16,sex,0.0608658608019596,0.0301767676767676,0.0765458026267947,0.1040903112491404,0.0024631263545782,False
german_credit,L2_re_upload,27,XGBoost_stub,0.25,2,linear,re_upload,9,36,16,overall,0.0923252279635258,0.0459308807134894,0.1165901396350125,0.1040903112491404,0.0024631263545782,False
german_credit,L2_re_upload,27,MLP,0.25,2,linear,re_upload,9,36,16,age,0.0,0.0,0.0,0.1040903112491404,0.0024631263545782,False
german_credit,L2_re_upload,27,MLP,0.25,2,linear,re_upload,9,36,16,sex,0.0,0.0,0.0,0.1040903112491404,0.0024631263545782,False
german_credit,L2_re_upload,27,MLP,0.25,2,linear,re_upload,9,36,16,overall,0.0,0.0,0.0,0.1040903112491404,0.0024631263545782,False
german_credit,L2_all_to_all_re_upload,7,RandomForest,0.25,2,all_to_all,re_upload,9,36,72,age,0.130718954248366,0.1868347338935574,0.1419467787114846,0.3081464781687421,0.2637840749974351,False
german_credit,L2_all_to_all_re_upload,7,RandomForest,0.25,2,all_to_all,re_upload,9,36,72,sex,0.0564381270903009,0.1005291005291004,0.0445567877074725,0.3081464781687421,0.2637840749974351,False
german_credit,L2_all_to_all_re_upload,7,RandomForest,0.25,2,all_to_all,re_upload,9,36,72,overall,0.0940349544072948,0.1177045177045176,0.0926545924143727,0.3081464781687421,0.2637840749974351,False
german_credit,L2_all_to_all_re_upload,7,XGBoost_stub,0.25,2,all_to_all,re_upload,9,36,72,age,0.2875816993464052,0.2823529411764706,0.3026960784313725,0.3081464781687421,0.2637840749974351,False
german_credit,L2_all_to_all_re_upload,7,XGBoost_stub,0.25,2,all_to_all,re_upload,9,36,72,sex,0.1808110367892977,0.1787037037037037,0.1841007102993404,0.3081464781687421,0.2637840749974351,False
