dataset,configuration,seed,model,batch_frac,n_layers,entangle,encoding_strategy,n_qubits,n_params,cnot_count,f1,accuracy,final_loss,best_loss
heart_disease,L1_linear,27,XGBoost_stub,0.25,1,linear,single,10,20,9,0.5984251968503937,0.4333333333333333,0.5317163145379608,0.5300570448043488
heart_disease,L1_linear,27,MLP,0.25,1,linear,single,10,20,9,0.6046511627906976,0.4333333333333333,0.5317163145379608,0.5300570448043488
heart_disease,L2_linear,7,RandomForest,0.25,2,linear,single,10,40,18,0.1860465116279069,0.6111111111111112,0.5351397627719349,0.5349719989455194
heart_disease,L2_linear,7,XGBoost_stub,0.25,2,linear,single,10,40,18,0.4150943396226415,0.6555555555555556,0.5351397627719349,0.5349719989455194
heart_disease,L2_linear,7,MLP,0.25,2,linear,single,10,40,18,0.0,0.5666666666666667,0.5351397627719349,0.5349719989455194
heart_disease,L2_linear,17,RandomForest,0.25,2,linear,single,10,40,18,0.4210526315789473,0.3888888888888889,0.5563859295209803,0.5563859295209803
heart_disease,L2_linear,17,XGBoost_stub,0.25,2,linear,single,10,40,18,0.5299145299145299,0.3888888888888889,0.5563859295209803,0.5563859295209803
heart_disease,L2_linear,17,MLP,0.25,2,linear,single,10,40,18,0.2307692307692307,0.5555555555555556,0.5563859295209803,0.5563859295209803
heart_disease,L2_linear,27,RandomForest,0.25,2,linear,single,10,40,18,0.4375,0.4,0.5140201564526814,0.5140201564526814
heart_disease,L2_linear,27,XGBoost_stub,0.25,2,linear,single,10,40,18,0.4954128440366973,0.3888888888888889,0.5140201564526814,0.5140201564526814
heart_disease,L2_linear,27,MLP,0.25,2,linear,single,10,40,18,0.6046511627906976,0.4333333333333333,0.5140201564526814,0.5140201564526814
heart_disease,L1_all_to_all,7,RandomForest,0.25,1,all_to_all,single,10,20,45,0.5849056603773585,0.5111111111111111,0.4970429351701085,0.4970429351701085
heart_disease,L1_all_to_all,7,XGBoost_stub,0.25,1,all_to_all,single,10,20,45,0.5434782608695652,0.5333333333333333,0.4970429351701085,0.4970429351701085
heart_disease,L1_all_to_all,7,MLP,0.25,1,all_to_all,single,10,20,45,0.0,0.5666666666666667,0.4970429351701085,0.4970429351701085
heart_disease,L1_all_to_all,17,RandomForest,0.25,1,all_to_all,single,10,20,45,0.2545454545454545,0.5444444444444444,0.569076871479954,0.569076871479954
