dataset,configuration,model,attribute,metric,n,statistic,p_value,note
german_credit,L2_all_to_all,RandomForest,age,aod,3,0.8131215820140014,0.14622484447857287,descriptive only; n<8
german_credit,L2_all_to_all,RandomForest,age,trace_distance_input,3,0.8417708926692645,0.21868390780765945,descriptive only; n<8
german_credit,L2_all_to_all,RandomForest,age,qsp_diff_output,3,0.8711701341439161,0.2988525657086142,descriptive only; n<8
german_credit,L2_all_to_all,RandomForest,overall,spd,3,0.8030493209822248,0.12179901378855673,descriptive only; n<8
german_credit,L2_all_to_all,RandomForest,overall,eod,3,0.9041507286007856,0.39883849355457135,descriptive only; n<8
german_credit,L2_all_to_all,RandomForest,overall,aod,3,0.7511104661397623,0.0024507466315044635,descriptive only; n<8
german_credit,L2_all_to_all,RandomForest,overall,trace_distance_input,3,0.8417708926692645,0.21868390780765945,descriptive only; n<8
german_credit,L2_all_to_all,RandomForest,overall,qsp_diff_output,3,0.8711701341439161,0.2988525657086142,descriptive only; n<8
german_credit,L2_all_to_all,RandomForest,sex,spd,3,0.850549096901715,0.2419196463540868,descriptive only; n<8
german_credit,L2_all_to_all,RandomForest,sex,eod,3,0.8847550167910524,0.3384985110692055,descriptive only; n<8
german_credit,L2_all_to_all,RandomForest,sex,aod,3,0.8972951433535543,0.3769429051490869,descriptive only; n<8
german_credit,L2_all_to_all,RandomForest,sex,trace_distance_input,3,0.8417708926692645,0.21868390780765945,descriptive only; n<8
german_credit,L2_all_to_all,RandomForest,sex,qsp_diff_output,3,0.8711701341439161,0.2988525657086142,descriptive only; n<8
german_credit,L2_all_to_all,XGBoost_stub,age,spd,3,0.782562983465199,0.07351731890722635,descriptive only; n<8
german_credit,L2_all_to_all,XGBoost_stub,age,eod,3,0.9868460154689606,0.780473585584982,descriptive only; n<8
german_credit,L2_all_to_all,XGBoost_stub,age,aod,3,0.7657212462181004,0.03504950223655301,descriptive only; n<8
german_credit,L2_all_to_all,XGBoost_stub,age,trace_distance_input,3,0.8417708926692645,0.21868390780765945,descriptive only; n<8
german_credit,L2_all_to_all,XGBoost_stub,age,qsp_diff_output,3,0.8711701341439161,0.2988525657086142,descriptive only; n<8
german_credit,L2_all_to_all,XGBoost_stub,overall,spd,3,0.986364409559797,0.7764728397336295,descriptive only; n<8
german_credit,L2_all_to_all,XGBoost_stub,overall,eod,3,0.8893010539745912,0.3522127219113609,descriptive only; n<8
german_credit,L2_all_to_all,XGBoost_stub,overall,aod,3,0.9984229271680333,0.9241349984156915,descriptive only; n<8
german_credit,L2_all_to_all,XGBoost_stub,overall,trace_distance_input,3,0.8417708926692645,0.21868390780765945,descriptive only; n<8
german_credit,L2_all_to_all,XGBoost_stub,overall,qsp_diff_output,3,0.8711701341439161,0.2988525657086142,descriptive only; n<8
german_credit,L2_all_to_all,XGBoost_stub,sex,spd,3,0.9544030157514447,0.5890145316724187,descriptive only; n<8
german_credit,L2_all_to_all,XGBoost_stub,sex,eod,3,0.8466754710311333,0.23159923064068333,descriptive only; n<8
german_credit,L2_all_to_all,XGBoost_stub,sex,aod,3,0.972721462123597,0.6831115138462956,descriptive only; n<8
german_credit,L2_all_to_all,XGBoost_stub,sex,trace_distance_input,3,0.8417708926692645,0.21868390780765945,descriptive only; n<8
german_credit,L2_all_to_all,XGBoost_stub,sex,qsp_diff_output,3,0.8711701341439161,0.2988525657086142,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,MLP,age,spd,3,0.75,0.0,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,MLP,age,eod,3,0.75,0.0,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,MLP,age,aod,3,0.75,0.0,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,MLP,age,trace_distance_input,3,0.8982143090384721,0.37984002019185836,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,MLP,age,qsp_diff_output,3,0.9924775611685667,0.8341457095992314,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,MLP,overall,spd,3,0.75,0.0,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,MLP,overall,eod,3,0.75,0.0,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,MLP,overall,aod,3,0.75,0.0,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,MLP,overall,trace_distance_input,3,0.8982143090384721,0.37984002019185836,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,MLP,overall,qsp_diff_output,3,0.9924775611685667,0.8341457095992314,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,MLP,sex,spd,3,0.75,0.0,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,MLP,sex,eod,3,0.75,0.0,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,MLP,sex,aod,3,0.75,0.0,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,MLP,sex,trace_distance_input,3,0.8982143090384721,0.37984002019185836,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,MLP,sex,qsp_diff_output,3,0.9924775611685667,0.8341457095992314,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,RandomForest,age,spd,3,0.9560916573484173,0.5968139150420302,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,RandomForest,age,eod,3,0.9462992366359476,0.5533601361730811,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,RandomForest,age,aod,3,0.9543919133209039,0.5889637121810243,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,RandomForest,age,trace_distance_input,3,0.8982143090384721,0.37984002019185836,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,RandomForest,age,qsp_diff_output,3,0.9924775611685667,0.8341457095992314,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,RandomForest,overall,spd,3,0.9812376865463306,0.737570850175419,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,RandomForest,overall,eod,3,0.8841726435499633,0.336758812153338,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,RandomForest,overall,aod,3,0.9985014568622902,0.9260489184319731,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,RandomForest,overall,trace_distance_input,3,0.8982143090384721,0.37984002019185836,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,RandomForest,overall,qsp_diff_output,3,0.9924775611685667,0.8341457095992314,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,RandomForest,sex,spd,3,0.884529486974004,0.33782434300787967,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,RandomForest,sex,eod,3,0.9993149972480834,0.9500083892167739,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,RandomForest,sex,aod,3,0.9989185760337851,0.9371829293813779,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,RandomForest,sex,trace_distance_input,3,0.8982143090384721,0.37984002019185836,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,RandomForest,sex,qsp_diff_output,3,0.9924775611685667,0.8341457095992314,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,XGBoost_stub,age,spd,3,0.9634815900854405,0.6327712099203254,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,XGBoost_stub,age,eod,3,0.9412891800590604,0.5325828492274476,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,XGBoost_stub,age,aod,3,0.9964787641131767,0.8866023269985376,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,XGBoost_stub,age,trace_distance_input,3,0.8982143090384721,0.37984002019185836,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,XGBoost_stub,age,qsp_diff_output,3,0.9924775611685667,0.8341457095992314,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,XGBoost_stub,overall,spd,3,0.9369327892097974,0.515183336864039,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,XGBoost_stub,overall,eod,3,0.9990210247396488,0.9402334589315421,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,XGBoost_stub,overall,aod,3,0.9837760185973494,0.756072099652751,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,XGBoost_stub,overall,trace_distance_input,3,0.8982143090384721,0.37984002019185836,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,XGBoost_stub,overall,qsp_diff_output,3,0.9924775611685667,0.8341457095992314,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,XGBoost_stub,sex,spd,3,0.9266502717652871,0.47620817076342636,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,XGBoost_stub,sex,eod,3,0.9348548281687313,0.5070819534800015,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,XGBoost_stub,sex,aod,3,0.991936843867562,0.8282727258695111,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,XGBoost_stub,sex,trace_distance_input,3,0.8982143090384721,0.37984002019185836,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,XGBoost_stub,sex,qsp_diff_output,3,0.9924775611685667,0.8341457095992314,descriptive only; n<8
german_credit,L2_linear,MLP,age,spd,3,0.75,0.0,descriptive only; n<8
german_credit,L2_linear,MLP,age,eod,3,0.75,0.0,descriptive only; n<8
german_credit,L2_linear,MLP,age,aod,3,0.75,0.0,descriptive only; n<8
german_credit,L2_linear,MLP,age,trace_distance_input,3,0.9333722337080491,0.5013750255222407,descriptive only; n<8
german_credit,L2_linear,MLP,age,qsp_diff_output,3,0.9749322281914937,0.6963378785049303,descriptive only; n<8
german_credit,L2_linear,MLP,overall,spd,3,0.75,0.0,descriptive only; n<8
german_credit,L2_linear,MLP,overall,eod,3,0.75,0.0,descriptive only; n<8
german_credit,L2_linear,MLP,overall,aod,3,0.75,0.0,descriptive only; n<8
german_credit,L2_linear,MLP,overall,trace_distance_input,3,0.9333722337080491,0.5013750255222407,descriptive only; n<8
german_credit,L2_linear,MLP,overall,qsp_diff_output,3,0.9749322281914937,0.6963378785049303,descriptive only; n<8
german_credit,L2_linear,MLP,sex,spd,3,0.75,0.0,descriptive only; n<8
german_credit,L2_linear,MLP,sex,eod,3,0.75,0.0,descriptive only; n<8
german_credit,L2_linear,MLP,sex,aod,3,0.75,0.0,descriptive only; n<8
german_credit,L2_linear,MLP,sex,trace_distance_input,3,0.9333722337080491,0.5013750255222407,descriptive only; n<8
german_credit,L2_linear,MLP,sex,qsp_diff_output,3,0.9749322281914937,0.6963378785049303,descriptive only; n<8
german_credit,L2_linear,RandomForest,age,spd,3,0.9176969397047223,0.4442812318186109,descriptive only; n<8
german_credit,L2_linear,RandomForest,age,eod,3,0.8868072257313655,0.3446597049969633,descriptive only; n<8
german_credit,L2_linear,RandomForest,age,aod,3,0.9087790641528013,0.4140182468738519,descriptive only; n<8
german_credit,L2_linear,RandomForest,age,trace_distance_input,3,0.9333722337080491,0.5013750255222407,descriptive only; n<8
german_credit,L2_linear,RandomForest,age,qsp_diff_output,3,0.9749322281914937,0.6963378785049303,descriptive only; n<8
german_credit,L2_linear,RandomForest,overall,spd,3,0.8454859427395257,0.22845152240199407,descriptive only; n<8
german_credit,L2_linear,RandomForest,overall,eod,3,0.9644019229738439,0.6374852934917008,descriptive only; n<8
german_credit,L2_linear,RandomForest,overall,aod,3,0.7779971093522897,0.06298702383730015,descriptive only; n<8
german_credit,L2_linear,RandomForest,overall,trace_distance_input,3,0.9333722337080491,0.5013750255222407,descriptive only; n<8
german_credit,L2_linear,RandomForest,overall,qsp_diff_output,3,0.9749322281914937,0.6963378785049303,descriptive only; n<8
german_credit,L2_linear,RandomForest,sex,spd,3,0.8626781156176353,0.2749748356861741,descriptive only; n<8
