dataset,configuration,model,attribute,metric,n,statistic,p_value,note
student_performance,L2_all_to_all_re_upload,MLP,sex,aod,3,0.75,0.0,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,MLP,sex,trace_distance_input,3,0.9669524420076244,0.6508655919119355,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,MLP,sex,qsp_diff_output,3,0.9063347438676205,0.40595956032303016,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,RandomForest,age,spd,3,0.8468025757191499,0.23193616273189088,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,RandomForest,age,eod,3,0.9340304411868405,0.5039012916644328,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,RandomForest,age,aod,3,0.8426924143725859,0.22109798778982193,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,RandomForest,age,trace_distance_input,3,0.9669524420076244,0.6508655919119355,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,RandomForest,age,qsp_diff_output,3,0.9063347438676205,0.40595956032303016,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,RandomForest,overall,spd,3,0.7500000000000002,7.771561172376096e-16,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,RandomForest,overall,eod,3,0.7607651514151967,0.023915954548421325,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,RandomForest,overall,aod,3,0.8215036544011862,0.16694057042834853,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,RandomForest,overall,trace_distance_input,3,0.9669524420076244,0.6508655919119355,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,RandomForest,overall,qsp_diff_output,3,0.9063347438676205,0.40595956032303016,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,RandomForest,sex,spd,3,0.8966351548629531,0.3748697662165269,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,RandomForest,sex,eod,3,0.8712231815282365,0.2990037872610327,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,RandomForest,sex,aod,3,0.9537239022378515,0.5859167639073859,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,RandomForest,sex,trace_distance_input,3,0.9669524420076244,0.6508655919119355,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,RandomForest,sex,qsp_diff_output,3,0.9063347438676205,0.40595956032303016,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,XGBoost_stub,age,spd,3,0.8963755474547251,0.3740558997538602,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,XGBoost_stub,age,eod,3,0.9465043755346387,0.5542299108026219,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,XGBoost_stub,age,aod,3,0.9344615687414182,0.5055623543595241,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,XGBoost_stub,age,trace_distance_input,3,0.9669524420076244,0.6508655919119355,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,XGBoost_stub,age,qsp_diff_output,3,0.9063347438676205,0.40595956032303016,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,XGBoost_stub,overall,spd,3,0.9160230409371887,0.4384916227516694,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,XGBoost_stub,overall,eod,3,0.9974610830668275,0.903725877697895,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,XGBoost_stub,overall,aod,3,0.9860388868277451,0.7738080452550391,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,XGBoost_stub,overall,trace_distance_input,3,0.9669524420076244,0.6508655919119355,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,XGBoost_stub,overall,qsp_diff_output,3,0.9063347438676205,0.40595956032303016,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,XGBoost_stub,sex,spd,3,0.9628062070533043,0.6293480618172294,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,XGBoost_stub,sex,eod,3,0.9998995176995185,0.9808550852945024,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,XGBoost_stub,sex,aod,3,0.9919980512557857,0.8289275135789838,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,XGBoost_stub,sex,trace_distance_input,3,0.9669524420076244,0.6508655919119355,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,XGBoost_stub,sex,qsp_diff_output,3,0.9063347438676205,0.40595956032303016,descriptive only; n<8
student_performance,L2_linear,MLP,age,spd,3,0.9992383761685482,0.9472859015104664,descriptive only; n<8
student_performance,L2_linear,MLP,age,eod,3,0.9999758706201956,0.9906184152982355,descriptive only; n<8
student_performance,L2_linear,MLP,age,aod,3,0.8861364879616125,0.3426406862939809,descriptive only; n<8
student_performance,L2_linear,MLP,age,trace_distance_input,3,0.9943654493995787,0.856504029126805,descriptive only; n<8
student_performance,L2_linear,MLP,age,qsp_diff_output,3,0.9481323266831161,0.5611889232939168,descriptive only; n<8
student_performance,L2_linear,MLP,overall,spd,3,0.9466416779207883,0.5548129425521592,descriptive only; n<8
student_performance,L2_linear,MLP,overall,eod,3,0.7633323427439842,0.029672946859984894,descriptive only; n<8
student_performance,L2_linear,MLP,overall,aod,3,0.861796696584385,0.2725326694009488,descriptive only; n<8
student_performance,L2_linear,MLP,overall,trace_distance_input,3,0.9943654493995787,0.856504029126805,descriptive only; n<8
student_performance,L2_linear,MLP,overall,qsp_diff_output,3,0.9481323266831161,0.5611889232939168,descriptive only; n<8
student_performance,L2_linear,MLP,sex,spd,3,0.9591848608171586,0.6114816357023889,descriptive only; n<8
student_performance,L2_linear,MLP,sex,eod,3,0.9868421052631567,0.7804408148790085,descriptive only; n<8
student_performance,L2_linear,MLP,sex,aod,3,0.823125190178052,0.1709914925544943,descriptive only; n<8
student_performance,L2_linear,MLP,sex,trace_distance_input,3,0.9943654493995787,0.856504029126805,descriptive only; n<8
student_performance,L2_linear,MLP,sex,qsp_diff_output,3,0.9481323266831161,0.5611889232939168,descriptive only; n<8
student_performance,L2_linear,RandomForest,age,spd,3,0.829348253339435,0.18667560986651655,descriptive only; n<8
student_performance,L2_linear,RandomForest,age,eod,3,0.952384354678799,0.5798691682370496,descriptive only; n<8
student_performance,L2_linear,RandomForest,age,aod,3,0.9887964313626724,0.7974679024033805,descriptive only; n<8
student_performance,L2_linear,RandomForest,age,trace_distance_input,3,0.9943654493995787,0.856504029126805,descriptive only; n<8
student_performance,L2_linear,RandomForest,age,qsp_diff_output,3,0.9481323266831161,0.5611889232939168,descriptive only; n<8
student_performance,L2_linear,RandomForest,overall,spd,3,0.8075022575080415,0.13253747265104898,descriptive only; n<8
student_performance,L2_linear,RandomForest,overall,eod,3,0.9986555357496942,0.9299556078802803,descriptive only; n<8
student_performance,L2_linear,RandomForest,overall,aod,3,0.994378522490542,0.8566709065984115,descriptive only; n<8
student_performance,L2_linear,RandomForest,overall,trace_distance_input,3,0.9943654493995787,0.856504029126805,descriptive only; n<8
student_performance,L2_linear,RandomForest,overall,qsp_diff_output,3,0.9481323266831161,0.5611889232939168,descriptive only; n<8
student_performance,L2_linear,RandomForest,sex,spd,3,0.7706552381430494,0.046214887937189864,descriptive only; n<8
student_performance,L2_linear,RandomForest,sex,eod,3,0.9914615175887684,0.8232694203762884,descriptive only; n<8
student_performance,L2_linear,RandomForest,sex,aod,3,0.9333184758611069,0.5011692105991126,descriptive only; n<8
student_performance,L2_linear,RandomForest,sex,trace_distance_input,3,0.9943654493995787,0.856504029126805,descriptive only; n<8
student_performance,L2_linear,RandomForest,sex,qsp_diff_output,3,0.9481323266831161,0.5611889232939168,descriptive only; n<8
student_performance,L2_linear,XGBoost_stub,age,spd,3,0.9976569155697453,0.9075163224647167,descriptive only; n<8
student_performance,L2_linear,XGBoost_stub,age,eod,3,0.874506467459426,0.30841579104955874,descriptive only; n<8
student_performance,L2_linear,XGBoost_stub,age,aod,3,0.9942050810418089,0.8544723871839957,descriptive only; n<8
student_performance,L2_linear,XGBoost_stub,age,trace_distance_input,3,0.9943654493995787,0.856504029126805,descriptive only; n<8
student_performance,L2_linear,XGBoost_stub,age,qsp_diff_output,3,0.9481323266831161,0.5611889232939168,descriptive only; n<8
student_performance,L2_linear,XGBoost_stub,overall,spd,3,0.9988704714666885,0.9358004812287479,descriptive only; n<8
student_performance,L2_linear,XGBoost_stub,overall,eod,3,0.8700222424657204,0.29558675235908616,descriptive only; n<8
student_performance,L2_linear,XGBoost_stub,overall,aod,3,0.966958813819079,0.6508996313415543,descriptive only; n<8
student_performance,L2_linear,XGBoost_stub,overall,trace_distance_input,3,0.9943654493995787,0.856504029126805,descriptive only; n<8
student_performance,L2_linear,XGBoost_stub,overall,qsp_diff_output,3,0.9481323266831161,0.5611889232939168,descriptive only; n<8
student_performance,L2_linear,XGBoost_stub,sex,spd,3,0.9433436216886986,0.5409979092499914,descriptive only; n<8
student_performance,L2_linear,XGBoost_stub,sex,eod,3,0.8109306909036007,0.14086983683242638,descriptive only; n<8
student_performance,L2_linear,XGBoost_stub,sex,aod,3,0.8558572164739269,0.25624296756415177,descriptive only; n<8
student_performance,L2_linear,XGBoost_stub,sex,trace_distance_input,3,0.9943654493995787,0.856504029126805,descriptive only; n<8
student_performance,L2_linear,XGBoost_stub,sex,qsp_diff_output,3,0.9481323266831161,0.5611889232939168,descriptive only; n<8
student_performance,L2_re_upload,MLP,age,spd,3,0.75,0.0,descriptive only; n<8
student_performance,L2_re_upload,MLP,age,eod,3,0.75,0.0,descriptive only; n<8
student_performance,L2_re_upload,MLP,age,aod,3,0.75,0.0,descriptive only; n<8
student_performance,L2_re_upload,MLP,age,trace_distance_input,3,0.9108803340876171,0.4210238958124102,descriptive only; n<8
student_performance,L2_re_upload,MLP,age,qsp_diff_output,3,0.8186774742894393,0.1599144375284588,descriptive only; n<8
student_performance,L2_re_upload,MLP,overall,spd,3,0.75,0.0,descriptive only; n<8
student_performance,L2_re_upload,MLP,overall,eod,3,0.75,0.0,descriptive only; n<8
student_performance,L2_re_upload,MLP,overall,aod,3,0.75,0.0,descriptive only; n<8
student_performance,L2_re_upload,MLP,overall,trace_distance_input,3,0.9108803340876171,0.4210238958124102,descriptive only; n<8
student_performance,L2_re_upload,MLP,overall,qsp_diff_output,3,0.8186774742894393,0.1599144375284588,descriptive only; n<8
student_performance,L2_re_upload,MLP,sex,spd,3,0.75,0.0,descriptive only; n<8
student_performance,L2_re_upload,MLP,sex,eod,3,0.75,0.0,descriptive only; n<8
student_performance,L2_re_upload,MLP,sex,aod,3,0.75,0.0,descriptive only; n<8
student_performance,L2_re_upload,MLP,sex,trace_distance_input,3,0.9108803340876171,0.4210238958124102,descriptive only; n<8
student_performance,L2_re_upload,MLP,sex,qsp_diff_output,3,0.8186774742894393,0.1599144375284588,descriptive only; n<8
student_performance,L2_re_upload,RandomForest,age,spd,3,0.8984036098396256,0.3804381144964537,descriptive only; n<8
student_performance,L2_re_upload,RandomForest,age,eod,3,0.9624855242562809,0.627733162660999,descriptive only; n<8
student_performance,L2_re_upload,RandomForest,age,aod,3,0.8907341678544383,0.35658686876133605,descriptive only; n<8
student_performance,L2_re_upload,RandomForest,age,trace_distance_input,3,0.9108803340876171,0.4210238958124102,descriptive only; n<8
